Course,Field,studylevel,AreaofInterest,C_education,Grade,Skills,Age
"Economics,Pol.Sc,Education,Geography","Economics,Pol.Sc,Education,Geography",Arts,3,1,50,1,16
"Economics,Sociology,Pol.Sc,Psychology","Economics,Sociology,Pol.Sc,Psychology",Arts,3,1,50,1,16
"Economics,Logic,Sociology,Psychology","Economics,Logic,Sociology,Psychology",Arts,3,1,50,1,16
"History,Economics,Geography,Sociology","History,Economics,Geography,Sociology",Arts,3,1,50,1,16
"History,Economics,Sociology,Kar.Music","History,Economics,Sociology,Kar.Music",Arts,3,1,50,1,16
"History,Economics,Sociology,Hind.Music","History,Economics,Sociology,Hind.Music",Arts,3,1,50,1,16
"History,Economics,Pol.Sc,Kar.Music","History,Economics,Pol.Sc,Kar.Music",Arts,3,1,50,1,16
"History,Economics,Pol.Sc,Hind.Music","History,Economics,Pol.Sc,Hind.Music",Arts,3,1,50,1,16
"History,Economics,Pol.Sc,Basic Maths","History,Economics,Pol.Sc,Basic Maths",Arts,3,1,50,1,16
"History,Econimics,Sociology,Basic Maths","History,Econimics,Sociology,Basic Maths",Arts,3,1,50,1,16
"History,Economics,Geography Basic Maths","History,Economics,Geography Basic Maths",Arts,3,1,50,1,16
"Economics,Sociology,Psychology,Home Sc","Economics,Sociology,Psychology,Home Sc",Arts,3,1,50,1,16
Diploma in Engineering,Engineering,Engineering,4,1,50,1,16
Diploma in Hotel Management,Hotel Management,Hotel Management,4,1,50,1,16
Diploma in Journalism,Journalism,Journalism,4,1,50,1,16
Diploma in Education,Education,Education,4,1,50,1,16
Diploma in Photography,Photography,Photography,4,1,50,1,16
Diploma in Psychology,Psychology,Psychology,4,1,50,1,16
Diploma in Elementary Education,Elementary Education,Elementary Education,4,1,50,1,16
Diploma in Digital Marketing,Digital Marketing,Digital Marketing,4,1,50,1,16
Diploma in Fine Arts,Fine Arts,Fine Arts,4,1,50,1,16
Diploma in English,English,English,4,1,50,1,16
Diploma in Fashion Designing,Fashion Designing,Fashion Designing,4,1,50,1,16
Diploma in Graphic Designing,Graphic Designing,Graphic Designing,4,1,50,1,16
Diploma in Web Development,Web Development,Web Development,4,1,50,1,16
Diploma in Game Designing,Game Designing,Game Designing,4,1,50,1,16
Diploma in Bakery & Confectionery,Bakery & Confectionery,Bakery & Confectionery,4,1,50,1,16
Diploma in Hotel Reception & Book Keeping,Hotel Reception & Book Keeping,Hotel Reception & Book Keeping,4,1,50,1,16
Diploma in Food Technology,Food Technology,Food Technology,4,1,50,1,16
Diploma in Information Technology,Information Technology,Information Technology,4,1,50,1,16
Diploma in Makeup and Beauty,Makeup and Beauty,Makeup and Beauty,4,1,50,1,16
Diploma in Event Management,Event Management,Event Management,4,1,50,1,16
Diploma in Business Management,Business Management,Business Management,4,1,50,1,16
Diploma in Marine Engineering,Marine Engineering,Marine Engineering,4,1,50,1,16
Diploma in Animation,Animation,Animation,4,1,50,1,16
Diploma in Textile Designing,Textile Designing,Textile Designing,4,1,50,1,16
Diploma in Leather Designing,Leather Designing,Leather Designing,4,1,50,1,16
Diploma in Textile Engineering,Textile Engineering,Textile Engineering,4,1,50,1,16
Diploma in Travel and Tourism,Travel and Tourism,Travel and Tourism,4,1,50,1,16
Diploma in Fine Arts,Fine Arts,Fine Arts,5,1,50,1,16
Diploma in Commercial Art,Commercial Art,Commercial Art,5,1,50,1,16
Diploma in Graphic Designing,Graphic Designing,Graphic Designing,5,1,50,1,16
Certificate Course in Spoken English,Spoken English,Spoken English,5,1,50,1,16
Certificate Course in Functional English,Functional English,Functional English,5,1,50,1,16
Diploma in Social Media Management,Social Media Management,Social Media Management,5,1,50,1,16
Diploma in Hotel Management,Hotel Management,Hotel Management,5,1,50,1,16
Certificate in Hindi,Hindi,Hindi,5,1,50,1,16
Certificate in Animation,Animation,Animation,6,1,50,1,16
Certificate Course in Tally,Tally,Tally,6,1,50,1,16
Diploma in Banking,Banking,Banking,6,1,50,1,16
Diploma in Risk and Insurance,Risk and Insurance,Risk and Insurance,6,1,50,1,16
Diploma in Computer Application,Computer Application,Computer Application,6,1,50,1,16
Advanced Diploma in Financial Accounting,Financial Accounting,Financial Accounting,6,1,50,1,16
Diploma in e-Accounting Taxation,e-Accounting Taxation,e-Accounting Taxation,6,1,50,1,16
Diploma in Information Technology,Information Technology,Information Technology,7,1,50,1,16
Craftsmanship Course in Food Production,Food Production,Food Production,7,1,50,1,16
Certificate in Diesel Mechanics,Diesel Mechanics,Diesel Mechanics,7,1,50,1,16
Diploma in Dental Mechanics,Dental Mechanics,Dental Mechanics,7,1,50,1,16
Diploma in Dental Hygienist,Dental Hygienist,Dental Hygienist,7,1,50,1,16
Diploma in Engineering,Engineering,Engineering,7,1,50,1,16
Diploma in Computer Science and Engineering,Computer Science and Engineering,Computer Science and Engineering,8,1,50,1,16
Diploma in Civil Engineering,Civil Engineering,Civil Engineering,8,1,50,1,16
Diploma in Automobile Engineering,Automobile Engineering,Automobile Engineering,8,1,50,1,16
Diploma in Electronics and Communication,Electronics and Communication,Electronics and Communication,8,1,50,1,16
Diploma in Electrical Engineering,Electrical Engineering,Electrical Engineering,8,1,50,1,16
Diploma in Interior Decoration,Interior Decoration,Interior Decoration,8,1,50,1,16
Diploma in Fashion Engineering,Fashion Engineering,Fashion Engineering,8,1,50,1,16
Diploma in Ceramic Engineering,Ceramic Engineering,Ceramic Engineering,8,1,50,1,16
Diploma in Art and Craft,Art and Craft,Art and Craft,8,1,50,1,16
Diploma in Mechanical Engineering,Mechanical Engineering,Mechanical Engineering,8,1,50,1,16
Diploma in Chemical Engineering,Chemical Engineering,Chemical Engineering,8,1,50,1,16
Diploma in Instrumentation and Control Engineering,Instrumentation and Control Engineering,Instrumentation and Control Engineering,8,1,50,1,16
Diploma in IT Engineering,IT Engineering,IT Engineering,8,1,50,1,16
Diploma in Electronics and Telecommunication Engineering,Electronics and Telecommunication Engineering,Electronics and Telecommunication Engineering,8,1,50,1,16
Diploma in Aeronautical Engineering,Aeronautical Engineering,Aeronautical Engineering,8,1,50,1,16
Diploma in Petroleum Engineering,Petroleum Engineering,Petroleum Engineering,8,1,50,1,16
Diploma in Aerospace Engineering,Aerospace Engineering,Aerospace Engineering,8,1,50,1,16
Diploma in Mining Engineering,Mining Engineering,Mining Engineering,8,1,50,1,16
Diploma in Automobile Engineering,Automobile Engineering,Automobile Engineering,8,1,50,1,16
Diploma in Genetic Engineering,Genetic Engineering,Genetic Engineering,8,1,50,1,16
Diploma in Biotechnology Engineering,Biotechnology Engineering,Biotechnology Engineering,8,1,50,1,16
Diploma in Plastics Engineering,Plastics Engineering,Plastics Engineering,8,1,50,1,16
Diploma in Agricultural Engineering,Agricultural Engineering,Agricultural Engineering,8,1,50,1,16
Diploma in Food Processing and Technology,Food Processing and Technology,Food Processing and Technology,8,1,50,1,16
Diploma in Dairy Technology and Engineering,Dairy Technology and Engineering,Dairy Technology and Engineering,8,1,50,1,16
Diploma in Power Engineering,Power Engineering,Power Engineering,8,1,50,1,16
Diploma in Infrastructure Engineering,Infrastructure Engineering,Infrastructure Engineering,8,1,50,1,16
Diploma in Production Engineering,Production Engineering,Production Engineering,8,1,50,1,16
Diploma in Metallurgy Engineering,Metallurgy Engineering,Metallurgy Engineering,8,1,50,1,16
Diploma in Motorsport Engineering,Motorsport Engineering,Motorsport Engineering,8,1,50,1,16
Diploma in Environmental Engineering,Environmental Engineering,Environmental Engineering,8,1,50,1,16
Diploma in Textile Engineering,Textile Engineering,Textile Engineering,8,1,50,1,16
Agricultural Information Technology,Information Technology,Information Technology,8,1,50,1,16
Diploma in hearing language and speech,hearing language and speech,hearing language and speech,9,1,50,1,16
Diploma in Operation Theatre Technology,Operation Theatre Technology,Operation Theatre Technology,9,1,50,1,16
Diploma in Medical Laboratory Technology,Medical Laboratory Technology,Medical Laboratory Technology,9,1,50,1,16
Diploma in X-Ray Technology,X-Ray Technology,X-Ray Technology,9,1,50,1,16
Diploma in Ophthalmic technology,Ophthalmic technology,Ophthalmic technology,9,1,50,1,16
Diploma is ECG technology,ECG technology,ECG technology,9,1,50,1,16
Diploma in physiotherapy,physiotherapy,physiotherapy,9,1,50,1,16
Diploma in Radiography and Medical Imaging,Radiography and Medical Imaging,Radiography and Medical Imaging,9,1,50,1,16
Diploma in anaesthesia technology,anaesthesia technology,anaesthesia technology,9,1,50,1,16
Diploma in Dialysis Technology,Dialysis Technology,Dialysis Technology,9,1,50,1,16
Diploma in Nursing Care Assistance,Nursing Care Assistance,Nursing Care Assistance,9,1,50,1,16
Diploma in Medical Record Technology,Medical Record Technology,Medical Record Technology,9,1,50,1,16
Diploma in Sanitary Inspection,Sanitary Inspection,Sanitary Inspection,9,1,50,1,16
Diploma in Audiometry,Audiometry,Audiometry,9,1,50,1,16
Diploma in Audiology and Speech Therapy,Audiology and Speech Therapy,Audiology and Speech Therapy,9,1,50,1,16
Diploma in Pathology Lab Technician ,Pathology Lab Technician ,Pathology Lab Technician ,9,1,50,1,16
Diploma in Dental Mechanics,Dental Mechanics,Dental Mechanics,9,1,50,1,16
Diploma in Radiology,Radiology,Radiology,9,1,50,1,16
Diploma in Pharmacy,Pharmacy,Pharmacy,9,1,50,1,16
X-ray Radiology Assistant,X-ray,X-ray,10,1,50,1,16
Medical Laboratory Assistant,Medical Laboratory,Medical Laboratory,10,1,50,1,16
ECG Assistant,ECG,ECG,10,1,50,1,16
Dental Assistant,Dental,Dental,10,1,50,1,16
CT Scan Technician,CT Scan,CT Scan,10,1,50,1,16
MRI Technician,MRI,MRI,10,1,50,1,16
Nursing Care Assistant,Nursing,Nursing,10,1,50,1,16
Operation Theatre Assistant,Operation Theatre,Operation Theatre,10,1,50,1,16
Diploma in Computer Application,Computer Application,Computer Application,11,1,50,1,16
Certificate in Social Media Management,Social Media Management,Social Media Management,11,1,50,1,16
Diploma in Hardware Maintenance,Hardware Maintenance,Hardware Maintenance,11,1,50,1,16
Certificate Course in Search Engine Marketing,Search Engine Marketing,Search Engine Marketing,11,1,50,1,16
Computer Technician Diploma,Computer Technician,Computer Technician,11,1,50,1,16
Certificate in Search Engine Optimisation,Search Engine Optimisation,Search Engine Optimisation,11,1,50,1,16
Certificate in Graphic/Web Designing,Graphic/Web Designing,Graphic/Web Designing,11,1,50,1,16
Certificate Course in Programming Language,Programming Language,Programming Language,11,1,50,1,16
Tool & Die Maker Engineering,Die Maker Engineering,Die Maker Engineering,12,1,50,1,16
Draughtsman (Mechanical) Engineering,Draughtsman (Mechanical),Draughtsman (Mechanical),12,1,50,1,16
Diesel Mechanic Engineering,Diesel Mechanic,Diesel Mechanic,12,1,50,1,16
Draughtsman (Civil) Engineering,Draughtsman (Civil),Draughtsman (Civil),12,1,50,1,16
Pump Operator,Pump Operator,Pump Operator,12,1,50,1,16
Fitter Engineering,Fitter ,Fitter ,12,1,50,1,16
Motor Driving-cum-Mechanic Engineering,Motor Driving-cum-Mechanic ,Motor Driving-cum-Mechanic ,12,1,50,1,16
Turner Engineering,Turner ,Turner ,12,1,50,1,16
Dress Making,Dress Making,Dress Making,12,1,50,1,16
Manufacture Foot Wear,Manufacture Foot Wear,Manufacture Foot Wear,12,1,50,1,16
Information Technology & E.S.M. Engineering,Information Technology & E.S.M. Engineering,Information Technology & E.S.M. Engineering,12,1,50,1,16
Secretarial Practice,Secretarial Practice,Secretarial Practice,12,1,50,1,16
Machinist Engineering,Machinist ,Machinist ,12,1,50,1,16
Hair & Skin Care,Hair & Skin Care,Hair & Skin Care,12,1,50,1,16
Refrigeration Engineering,Refrigeration ,Refrigeration ,12,1,50,1,16
Fruit & Vegetable Processing,Fruit & Vegetable Processing,Fruit & Vegetable Processing,12,1,50,1,16
Mech. Instrument Engineering,Mech. Instrument Engineering,Mech. Instrument Engineering,12,1,50,1,16
Bleaching & Dyeing Calico Print,Bleaching & Dyeing Calico Print,Bleaching & Dyeing Calico Print,12,1,50,1,16
Electrician Engineering,Electrician ,Electrician ,12,1,50,1,16
Letter Press Machine Mender,Letter Press Machine Mender,Letter Press Machine Mender,12,1,50,1,16
Commercial Art,Commercial Art,Commercial Art,12,1,50,1,16
Leather Goods Maker,Leather Goods Maker,Leather Goods Maker,12,1,50,1,16
Mechanic Motor Vehicle Engineering,Mechanic Motor Vehicle,Mechanic Motor Vehicle,12,1,50,1,16
Hand Compositor,Hand Compositor,Hand Compositor,12,1,50,1,16
Mechanic Radio & T.V. Engineering,Mechanic Radio & T.V. ,Mechanic Radio & T.V. ,12,1,50,1,16
Mechanic Electronics Engineering,Mechanic Electronics ,Mechanic Electronics ,12,1,50,1,16
Surveyor Engineering,Surveyor ,Surveyor ,12,1,50,1,16
Foundry Man Engineering,Foundry Man ,Foundry Man ,12,1,50,1,16
Sheet Metal Worker Engineering,Sheet Metal Worker ,Sheet Metal Worker ,12,1,50,1,16
Weaving of Fancy Fabric,Weaving of Fancy Fabric,Weaving of Fancy Fabric,12,1,50,1,16
Wireman Engineering,Wireman ,Wireman ,12,1,50,1,16
Cutting & Sewing,Cutting & Sewing,Cutting & Sewing,12,1,50,1,16
Pattern Maker Engineering,Pattern Maker ,Pattern Maker ,12,1,50,1,16
Plumber Engineering,Plumber ,Plumber ,12,1,50,1,16
Welder (Gas & Electric) Engineering,Welder (Gas & Electric),Welder (Gas & Electric),12,1,50,1,16
Book Binder,Book Binder,Book Binder,12,1,50,1,16
Carpenter Engineering,Carpenter ,Carpenter ,12,1,50,1,16
Embroidery & Needle Worker,Embroidery & Needle Worker,Embroidery & Needle Worker,12,1,50,1,16
Mechanic Tractor,Mechanic Tractor,Mechanic Tractor,12,1,50,1,16
Ecommerce,Ecommerce,Ecommerce,13,1,50,1,16
Digital Marketing,Digital Marketing,Digital Marketing,13,1,50,1,16
Occupational Therapy,Occupational Therapy,Occupational Therapy,13,1,50,1,16
Agriculture,Agriculture,Agriculture,13,1,50,1,16
Journalism,Journalism,Journalism,13,1,50,1,16
Certification in Animation,Animation,Animation,13,1,50,1,16
Certification Course in Fuctional/Spoken English,Fuctional/Spoken English,Fuctional/Spoken English,13,1,50,1,16
Certification in Mobile Repairing Courses,Mobile Repairing Courses,Mobile Repairing Courses,13,1,50,1,16
Diploma in commercial practise,commercial practise,commercial practise,13,1,50,1,16
Diploma in cosmetology,cosmetology,cosmetology,13,1,50,1,16
Diploma in Stenography,Stenography,Stenography,13,1,50,1,16
Diploma in Leather Technology,Leather Technology,Leather Technology,13,1,50,1,16
Diploma in Mechanical Engineering,Mechanical Engineering,Mechanical Engineering,13,1,50,1,16
Diploma in 3D Animation,3D Animation,3D Animation,13,1,50,1,16
Bachelor of Technology (B.Tech) mechanical engineering,mechanical Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) compiuter Science & engineering,Computer Science & Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Civil engineering,civil Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Electronics &communication engineering,Electronics &communication engineering,Engineering,1,2,50,1,18
Bachelor of Engineering (B.E) mechanical engineering,mechanical engineering,Engineering,1,2,50,1,18
Bachelor of Engineering (B.E) civil engineering,civil engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Electrical&electronics engineering,Electrical&electronics engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) informmation technology,informmation technology,Engineering,1,2,50,1,18
Bachelor of Engineering (B.E) Computer Science &Engineering,Computer Science &Engineering,Engineering,1,2,50,1,18
Bachelor of Engineering (B.E) Electronics &Communication Engineering,Electronics &Communication Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Electrical engineering,Electrical engineering,Engineering,1,2,50,1,18
Bachelor of Engineering (B.E) Electrical &Electronics Engineering,Electrical &Electronics Engineering,Engineering,1,2,50,1,18
Bachelor of Engineering (B.E) Electrical engineering, Electrical engineering,Engineering,1,2,50,1,18
Bachelor of Engineering (B.E) Information Technology,Information Technology,Engineering,1,2,50,1,18
Bachelor of Engineering (B.E) Electronics and Telecom Engineering ,Electronics and Telecom Engineering ,Engineering,1,2,50,1,18
Bachelor of Engineering (B.E) Computer Engineering,Computer Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Biotechnology,Biotechnology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Chemical Engineering,Chemical Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Artificall Intelligence & Machine Learing,Artificall Intelligence & Machine Learing,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Automobile Engineering,Automobile Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Electronics and Telecomunication Engineering,Electronics and Telecomunication Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) computer engineering,computer engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Data Science, Data Science,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Agricultural Engineering,Agricultural Engineering,Engineering,1,2,50,1,18
Bachelor of Engineering (B.E) Automobile Engineering, Automobile Engineering,Engineering,1,2,50,1,18
Bachelor of Techonology (B.Tech) Food Technology,Food Technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech)  Cyber Security,Cyber Security,Engineering,1,2,50,1,18
Bachelor of Engineering (B.E) Information science & Engineering,Information science & Engineering,Engineering,1,2,50,1,18
Bachelor of Engineering (B.E) BioMedical Engineering,BioMedical Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Electronics And Instrumentation Engineering, Electronics And Instrumentation Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Mechatronics ,Mechatronics ,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Aeronautical Engineering,Aeronautical Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Mining Engineering,Mining Engineering,Engineering,1,2,50,1,18
Bachelor of Engineering (B.E) Chemical Engineering,Chemical Engineering,Engineering,1,2,50,1,18
Bachelor of Engineering (B.E) Aeronautical Engineering,Aeronautical Engineering,Engineering,1,2,50,1,18
Bachelor of Engineering (B.E) Electronics & Instrumentation Engineering,Electronics & Instrumentation Engineering,Engineering,1,2,50,1,18
 Bachelor of Technology (B.Tech) Computer Science,Computer Science,Engineering,1,2,50,1,18
 Bachelor of Technology (B.Tech) BioMedical Engineering,BioMedical Engineering,Engineering,1,2,50,1,18
Bachelor of Engineering (B.E) Mechatronics Engineering,Mechatronics Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) petroleum Engineering,petroleum Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Aerospace Engineering,Aerospace Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Electronics Engineering,Electronics Engineering,Engineering,1,2,50,1,18
Bachelor of Engineering (B.E) Electronics Engineering,Electronics Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Production Engineering,Production Engineering,Engineering,1,2,50,1,18
Bachelor of Engineering (B.E) Biotechnology,Biotechnology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Dairy Technology,Dairy Technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Instrumentation & Control Engineering,Instrumentation & Control Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Marine Engineering,Marine Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Metallurgical & Materials Engineering,Metallurgical & Materials Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Textile technology,Textile technology,Engineering,1,2,50,1,18
Bachelor of Engineering (B.E) Production Engineering,Production Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Applied Electronics & Instrumentation,Applied Electronics & Instrumentation,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Big Data Analytics,Big Data Analytics,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Electrical Communication Engineering,Electrical Communication Engineering,Engineering,1,2,50,1,18
Bachelor of Engineering (B.E) Computer Science ,Computer Science,Engineering,1,2,50,1,18
Bachelor of Engineering (B.E) Instrumentation Engineering,Instrumentation Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech)  Environmental Engineering,Environmental Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Bioinformatics,Bioinformatics,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) metallurgical Engineering,metallurgical Engineering,Engineering,1,2,50,1,18
Bachelor of Engineering (B.E) Instrumentation & Control Engineering,Instrumentation & Control Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Instrumentation Engineering,Instrumentation Engineering,Engineering,1,2,50,1,18
Bachelor of Engineering (B.E) Mining Engineering,Mining Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Robotics,Robotics,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) textile engineering,textile engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) NanoTechnology,NanoTechnology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Software Engineering,Software Engineering,Engineering,1,2,50,1,18
 Bachelor of Technology (B.Tech) Safety and Fire Engineering,Safety and Fire Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.E) Marine Engineering,Marine Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Industrial & Production Engineering,Industrial & Production Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Petrochemical Engineering,Petrochemical Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Information And Communication Technology,Information And Communication Technology,Engineering,1,2,50,1,18
Bachelor of Engineering (B.E) Telecommunication Engineering,Telecommunication Engineering,Engineering,1,2,50,1,18
Bachelor of Engineering (B.E) Food technology,Food technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Informtion Science & Engineering,Informtion Science & Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Fashion technology,Fashion technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Cloud Computing & Virtualization Technology,Cloud Computing & Virtualization Technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Construction Engineering & Management,Construction Engineering & Management,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Electrical & Computer Engineering,Electrical & Computer Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Engineering Physics,Engineering Physics,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Manufacturing Engineering,Manufacturing Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Industrial  Engineering,Industrial Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Leather Technology,Leather Technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Mathematics and Computing,Mathematics and Computing,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Structural Engineering,Structural Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Pharmaceutical Technology,Pharmaceutical Technology,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Architecture Engineering,Architecture Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Food Process Engineering,Food Process Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Printing engineering,Printing engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Ceramic Engineering,Ceramic Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) energy Engineering,Ceramic Engineering,Engineering,1,2,50,1,18
Bachelor of Technology (B.Tech) Textile  Chemistry,Textile Chemistry,Engineering,1,2,50,1,18
